## memory, data ready
## threads ready
# starting GA
0: pop m=165.464263 v=2300.896366 f=-183.230153; best m=165.736842 v=531.772853 f=-3.720333
70543: pop m=175.029316 v=183.919479 f=100.255782; best m=175.578947 v=0.243767 f=171.950803
70867: pop m=175.140526 v=174.451003 f=104.603342; best m=175.578947 v=0.243767 f=171.950803
71192: pop m=175.021789 v=180.837197 f=102.818584; best m=175.578947 v=0.243767 f=171.950803
71517: pop m=175.143789 v=176.526144 f=104.547487; best m=175.578947 v=0.243767 f=171.950803
71841: pop m=175.077579 v=181.251474 f=102.749343; best m=175.578947 v=0.243767 f=171.950803
72168: pop m=175.034368 v=190.610609 f=99.306937; best m=175.578947 v=0.243767 f=171.950803
72491: pop m=174.967421 v=188.229562 f=100.335872; best m=175.578947 v=0.243767 f=171.950803
72815: pop m=175.057053 v=186.251684 f=100.486209; best m=175.578947 v=0.243767 f=171.950803
73139: pop m=174.977684 v=194.718499 f=100.200331; best m=175.578947 v=0.243767 f=171.950803
73464: pop m=175.123947 v=185.558482 f=101.839972; best m=175.578947 v=0.243767 f=171.950803
73788: pop m=175.076158 v=193.884199 f=99.032625; best m=175.578947 v=0.243767 f=171.950803
74110: pop m=175.099368 v=177.551945 f=103.180723; best m=175.578947 v=0.243767 f=171.950803
74435: pop m=174.946211 v=189.918465 f=100.817155; best m=175.578947 v=0.243767 f=171.950803
74759: pop m=175.070737 v=176.763861 f=104.270861; best m=175.578947 v=0.243767 f=171.950803
75082: pop m=175.022158 v=177.466776 f=103.141131; best m=175.578947 v=0.243767 f=171.950803
75405: pop m=175.074895 v=181.299208 f=102.685178; best m=175.578947 v=0.243767 f=171.950803
75728: pop m=175.094368 v=179.803296 f=102.682914; best m=175.578947 v=0.243767 f=171.950803
76055: pop m=175.051895 v=185.055324 f=102.046910; best m=175.578947 v=0.243767 f=171.950803
76381: pop m=175.070158 v=181.260127 f=103.642111; best m=175.578947 v=0.243767 f=171.950803
76706: pop m=175.222895 v=184.071662 f=102.401536; best m=175.578947 v=0.243767 f=171.950803
77031: pop m=175.117895 v=177.419175 f=104.870961; best m=175.578947 v=0.243767 f=171.950803
77355: pop m=175.132158 v=186.005385 f=101.202047; best m=175.578947 v=0.243767 f=171.950803
77679: pop m=175.178105 v=172.045839 f=104.660968; best m=175.578947 v=0.243767 f=171.950803
78002: pop m=175.124632 v=179.607679 f=103.892360; best m=175.578947 v=0.243767 f=171.950803
78326: pop m=175.118842 v=179.207440 f=102.239899; best m=175.578947 v=0.243767 f=171.950803
78650: pop m=175.120474 v=184.224765 f=101.040823; best m=175.578947 v=0.243767 f=171.950803
79032: pop m=175.174684 v=184.690986 f=101.536887; best m=175.578947 v=0.243767 f=171.950803
79358: pop m=175.147947 v=182.786255 f=102.673148; best m=175.578947 v=0.243767 f=171.950803
79681: pop m=175.115632 v=173.360011 f=104.797307; best m=175.578947 v=0.243767 f=171.950803
80003: pop m=175.097211 v=180.380543 f=104.049652; best m=175.578947 v=0.243767 f=171.950803
80329: pop m=174.935632 v=192.974155 f=100.092685; best m=175.578947 v=0.243767 f=171.950803
80653: pop m=175.113842 v=175.947213 f=104.162581; best m=175.578947 v=0.243767 f=171.950803
80977: pop m=175.091158 v=179.267119 f=102.791086; best m=175.578947 v=0.243767 f=171.950803
81298: pop m=175.031421 v=185.895474 f=101.928177; best m=175.578947 v=0.243767 f=171.950803
81620: pop m=175.237053 v=192.541247 f=100.235491; best m=175.578947 v=0.243767 f=171.950803
81941: pop m=175.190474 v=175.280255 f=103.850402; best m=175.578947 v=0.243767 f=171.950803
82267: pop m=175.150632 v=179.307313 f=103.971368; best m=175.578947 v=0.243767 f=171.950803
82591: pop m=175.071895 v=176.208471 f=103.931504; best m=175.578947 v=0.243767 f=171.950803
82916: pop m=175.011000 v=183.782416 f=101.821744; best m=175.578947 v=0.243767 f=171.950803
83238: pop m=175.063579 v=186.111114 f=100.643393; best m=175.578947 v=0.243767 f=171.950803
83562: pop m=175.019684 v=177.095147 f=104.199148; best m=175.578947 v=0.243767 f=171.950803
83887: pop m=175.035842 v=179.821125 f=103.585729; best m=175.578947 v=0.243767 f=171.950803
84210: pop m=175.053842 v=180.922382 f=103.275230; best m=175.578947 v=0.243767 f=171.950803
84532: pop m=174.977947 v=190.256731 f=100.748454; best m=175.578947 v=0.243767 f=171.950803
84854: pop m=175.180474 v=176.163003 f=103.676725; best m=175.578947 v=0.243767 f=171.950803
